ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features,Algorithm
324,0.1441351888667992,0.7369863013698629,"(0.35238, 0.78544, 0.78774)","(0.44048, 0.6298, 0.85586)","['num_words', 'FacilityRegion', 'FacilityEconomicSector', 'FacilityEconomicSubSector', 'facility_mentioned', 'ComplaintType', 'month', 'quarter', 'natural_region', 'min_num_words', 'max_num_words', 'proportion_urban', 'proportion_protected', 'proportion_poor_air']","[(0.3746536205393385, 'PC4'), (0.2554645845843363, 'PC1'), (0.06379239888150437, 'PC11'), (0.05027311725296021, 'PC3'), (0.04859439926851443, 'PC12')]",Gradient Boosting
325,0.18588469184890646,0.7715068493150685,"(0.33553, 0.83248, 0.875)","(0.60714, 0.74808, 0.81412)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.35990185944926406, 'PC5'), (0.23802221129424792, 'PC1'), (0.14549677744008685, 'PC4'), (0.04400873546464533, 'PC3'), (0.03968745528591339, 'PC2')]",Gradient Boosting
326,0.13220675944333996,0.8054794520547945,"(0.34221, 0.86371, 0.89538)","(0.53571, 0.7788, 0.86779)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.20725780513651962, 'facility_mentioned'), (0.06363497208684525, 'proportion_protected'), (0.06043924579563274, 'ruid'), (0.040535587590228676, 'Topic 14'), (0.03812722216748847, 'x0_Ruidos')]",Gradient Boosting
327,0.1242544731610338,0.8043835616438356,"(0.3384, 0.8676, 0.8917)","(0.52976, 0.76498, 0.87575)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.17272451354368798, 'facility_mentioned'), (0.08106124377258196, 'x0_Ruidos'), (0.07169772665654547, 'proportion_urban'), (0.04207829799281848, 'proportion_protected'), (0.0420065761093233, 'Topic 45')]",Gradient Boosting
328,0.1242544731610338,0.8065753424657535,"(0.34146, 0.85642, 0.8926)","(0.5, 0.7788, 0.87575)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'num_past_sanctions']","[(0.1710531957684171, 'facility_mentioned'), (0.07930019974857239, 'x0_Ruidos'), (0.07334495564976579, 'proportion_urban'), (0.03959540811053461, 'proportion_protected'), (0.03267119475519005, 'ruid')]",Gradient Boosting
329,0.11928429423459246,0.8065753424657535,"(0.34836, 0.85204, 0.89225)","(0.50595, 0.76959, 0.88072)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'Effect_on_Environment', 'num_past_sanctions']","[(0.15212499061155604, 'facility_mentioned'), (0.0961848205044424, 'proportion_urban'), (0.04300225478863293, 'ruid'), (0.039375534223247084, 'x0_Ruidos'), (0.03911543756683326, 'proportion_protected')]",Random Forest
330,0.1143141153081511,0.8109589041095892,"(0.35685, 0.8569, 0.89368)","(0.5119, 0.77266, 0.88569)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'Effect_on_Environment', 'Health_Impact', 'num_past_sanctions']","[(0.1269900048965971, 'facility_mentioned'), (0.0928351362812632, 'proportion_urban'), (0.05087374280889478, 'ruid'), (0.04497720816053635, 'x0_Ruidos'), (0.03982887360164227, 'Topic 27')]",Random Forest
331,0.11928429423459246,0.8082191780821918,"(0.35484, 0.85641, 0.89315)","(0.52381, 0.76959, 0.88072)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'Effect_on_Environment', 'Health_Impact', 'Affected_population', 'num_past_sanctions']","[(0.13447047794964315, 'facility_mentioned'), (0.106053198592966, 'proportion_urban'), (0.0597668374137362, 'proportion_protected'), (0.05073109884487317, 'x0_Ruidos'), (0.040482487022601744, 'ruid')]",Random Forest
332,0.2326043737574553,0.6378082191780822,"(0.05455, 0.61844, 0.6766)","(0.01786, 0.59754, 0.7674)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'Effect_on_Environment', 'Health_Impact', 'Affected_population', 'num_past_sanctions']","[(0.5085463453473226, 'PC1'), (0.49145365465267743, 'PC2')]",Random Forest
333,0.4045725646123261,0.5928767123287672,"(0.16216, 0.57977, 0.71995)","(0.21429, 0.68664, 0.59543)","['ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'month', 'LDA', 'RAKE', 'TF-IDF', 'facility_mentioned', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'Effect_on_Environment', 'Health_Impact', 'Affected_population', 'num_past_sanctions']","[(0.5006795937372449, 'PC1'), (0.4993204062627551, 'PC2')]",Random Forest
334,0.415506958250497,0.5271232876712328,"(0.125, 0.51479, 0.62487)","(0.15476, 0.53456, 0.58449)","['LDA', 'RAKE', 'TF-IDF']","[(0.5375063656577235, 'PC1'), (0.4624936343422766, 'PC2')]",Random Forest
335,0.3777335984095427,0.5632876712328767,"(0.2201, 0.54518, 0.65005)","(0.27381, 0.54685, 0.62227)","['ComplaintType', 'num_words']","[(0.543929067212362, 'PC1'), (0.45607093278763794, 'PC2')]",Random Forest
336,0.3777335984095427,0.5632876712328767,"(0.2201, 0.54518, 0.65005)","(0.27381, 0.54685, 0.62227)","['ComplaintType', 'num_words']","[(0.543929067212362, 'PC1'), (0.45607093278763794, 'PC2')]",Random Forest
337,0.33697813121272363,0.5079452054794521,"(0.09434, 0.56931, 0.60471)","(0.17857, 0.3533, 0.66302)","['ComplaintType', 'num_words']","[(0.5072804372513559, 'PC1'), (0.49271956274864415, 'PC2')]",Random Forest
338,0.1938369781312128,0.5386301369863014,"(0.1165, 0.45714, 0.59111)","(0.07143, 0.24578, 0.80616)","['LDA', 'RAKE', 'TF-IDF', 'ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month', 'proportion_urban', 'proportion_protected', 'EnvironmentalTopic', 'Effect_on_Environment', 'Health_Impact', 'Affected_population', 'num_past_sanctions']","[(0.5486639917385358, 'PC1'), (0.4513360082614643, 'PC2')]",Random Forest
339,0.5487077534791253,0.5035616438356164,"(0.12752, 0.47096, 0.62277)","(0.1131, 0.6851, 0.45129)","['LDA', 'TF-IDF', 'RAKE']","[(0.5007422127086288, 'PC1'), (0.4992577872913711, 'PC2')]",Random Forest
340,0.5278330019880716,0.4454794520547945,"(0.06278, 0.37543, 0.64276)","(0.08333, 0.4977, 0.47217)","['LDA', 'TF-IDF', 'RAKE']","[(0.5845391868077593, 'PC1'), (0.41546081319224065, 'PC2')]",Random Forest
341,0.2952286282306163,0.513972602739726,"(0.09231, 0.38716, 0.65346)","(0.10714, 0.32412, 0.70477)","['LDA', 'RAKE', 'TF-IDF', 'ComplaintType', 'num_words', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_mentioned', 'month', 'proportion_urban', 'proportion_protected', 'num_past_sanctions']","[(0.538863312998432, 'PC1'), (0.46113668700156796, 'PC2')]",Random Forest
342,0.3807157057654075,0.4443835616438356,"(0.16176, 0.28006, 0.55378)","(0.06548, 0.27189, 0.61928)","['LDA', 'RAKE', 'TF-IDF', 'ComplaintType', 'num_words', 'num_past_sanctions']","[(0.5523236670916168, 'PC1'), (0.4476763329083832, 'PC2')]",Random Forest
343,0.3121272365805169,0.4526027397260274,"(0.08197, 0.26667, 0.55897)","(0.05952, 0.19048, 0.68787)","['LDA', 'RAKE', 'TF-IDF', 'num_words']","[(0.5628321393602972, 'PC1'), (0.43716786063970287, 'PC2')]",Random Forest
