ExperimentId,Proportion of Relevant complaints missed,Accuracy,"Precision (Ar I, Der, Rel)","Recall (Ar I, Der, Rel)",Features,5 most important features
47,0.1606060606060606,0.8173220507715281,"(0.72844, 0.84029, 0.92333)","(0.91508, 0.6952, 0.83939)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSubSector', 'facility_num_inspections']","[(0.19519269480084592, 'num_words'), (0.17469425612837886, 'facility_num_sanctions'), (0.148047026783432, 'facility_num_inspections'), (0.0983979221496516, 'Ruidos'), (0.03882815826758383, 'natural_region_Central')]"
48,0.15,0.5699352911896466,"(0.65116, 0.48264, 0.68919)","(0.041, 0.83483, 0.85)","['max_num_words', 'FacilityRegion']","[(0.24033401387700118, 'FacilityRegion_Región Metropolitana'), (0.08049660961635285, 'FacilityRegion_Región de Valparaíso'), (0.07497778651555786, 'FacilityRegion_Región de Coquimbo'), (0.06578262785138331, 'FacilityRegion_Región del Biobío'), (0.06384519582885317, 'FacilityRegion_Región del Maule')]"
49,0.1757575757575757,0.5978098556495769,"(0.68889, 0.49296, 0.76404)","(0.09078, 0.89339, 0.82424)","['FacilityEconomicSector', 'FacilityRegion']","[(0.14801541795575363, 'FacilityEconomicSector_Equipamiento'), (0.135090301986346, 'FacilityRegion_Región Metropolitana'), (0.061905548513841335, 'FacilityEconomicSector_Minería'), (0.052733856221347415, 'FacilityRegion_Región de Ñuble'), (0.040555034647919846, 'FacilityEconomicSector_Agroindustrias')]"
50,0.2,0.5699352911896466,"(0.43333, 0.48749, 0.71351)","(0.01903, 0.90691, 0.8)","['FacilityEconomicSector', 'natural_region']","[(0.23467841514385943, 'natural_region_Central'), (0.15197944749059114, 'FacilityEconomicSector_Equipamiento'), (0.11649958324825045, 'natural_region_Near North'), (0.0800118888223501, 'natural_region_South'), (0.06901386775091789, 'natural_region_Austral')]"
51,0.2212121212121212,0.6082628173220508,"(0.64626, 0.50578, 0.79077)","(0.13909, 0.92042, 0.77879)","['FacilityEconomicSubSector', 'natural_region']","[(0.20080695769682036, 'natural_region_Central'), (0.09380836989378165, 'natural_region_Near North'), (0.06936899830938487, 'natural_region_South'), (0.054623199771660025, 'natural_region_Austral'), (0.04605884383657161, 'FacilityEconomicSubSector_Planta de Tratamiento de Aguas Servidas')]"
53,0.1863636363636363,0.6077650572424091,"(0.50586, 0.55995, 0.72764)","(0.37921, 0.63814, 0.81364)","['natural_region', 'month']","[(0.3025127869671385, 'natural_region_Central'), (0.19753025762803902, 'month'), (0.16209744143261579, 'natural_region_Near North'), (0.12714624567221078, 'natural_region_South'), (0.10761719098484385, 'natural_region_Austral')]"
53,0.156060606060606,0.6241911398705824,"(0.55024, 0.55795, 0.73873)","(0.33675, 0.7012, 0.84394)","['natural_region', 'month', 'quarter']","[(0.3170275985158353, 'natural_region_Central'), (0.17668800999855724, 'natural_region_Near North'), (0.15237726053719172, 'month'), (0.1102242924297242, 'natural_region_South'), (0.10857116475830211, 'natural_region_Austral')]"
54,0.1409090909090909,0.8402190144350423,"(0.78907, 0.84034, 0.90431)","(0.90922, 0.75075, 0.85909)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'natural_region', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.17758526718671816, 'num_words'), (0.1454044174750921, 'facility_num_sanctions'), (0.13282285513613987, 'facility_num_inspections'), (0.12287737395850709, 'month'), (0.08132926705468996, 'Ruidos')]"
55,0.1363636363636363,0.8566450970632156,"(0.79602, 0.87201, 0.92084)","(0.93704, 0.76727, 0.86364)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.1661074805911448, 'num_words'), (0.14654927177323546, 'facility_num_sanctions'), (0.1428899015074481, 'facility_num_inspections'), (0.1249121113694661, 'month'), (0.08334995386923659, 'Ruidos')]"
56,0.1666666666666666,0.8327526132404182,"(0.77975, 0.82573, 0.90909)","(0.9019, 0.76126, 0.83333)","['ComplaintType', 'num_words', 'EnvironmentalTopic', 'facility_num_sanctions', 'FacilityRegion', 'FacilityEconomicSubSector', 'facility_num_inspections', 'month']","[(0.17271074294719893, 'num_words'), (0.16411319978572542, 'facility_num_sanctions'), (0.11923940727104036, 'month'), (0.1160475826055832, 'facility_num_inspections'), (0.08620154056886051, 'Ruidos')]"
